Upfront_charges,Interest_rate_spread,credit_type,rate_of_interest,dtir1
4055.0,0.6783,3,4.25,47.0
2596.45,0.4416556604868295,2,3.99,37.0
2596.45,-0.018,0,3.75,37.73293242017198
2596.45,0.4416556604868295,3,3.99,31.0
4300.0,0.3722,3,3.75,47.0
1975.0,1.2492,3,4.5,49.0
0.0,1.2274,2,5.625,39.0
0.0,-0.1614,0,3.625,37.73293242017198
3668.03,0.633,3,3.5,56.0
7452.5,0.4177,2,3.875,35.0
2596.45,0.4416556604868295,3,3.99,51.0
3432.83,0.471,0,4.375,37.0
9430.36,0.3558,2,3.99,31.0
5002.4,-0.0894,3,4.125,38.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
250.0,0.5186,3,4.75,37.0
0.0,0.8683,2,4.625,41.0
5880.0,0.53,3,4.75,23.0
6044.38,0.185,0,2.99,30.0
8092.5,0.4689,0,3.875,40.0
3900.0,0.4751,2,4.5,39.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,2,3.99,55.0
3447.5,0.821,2,4.125,43.0
1088.9,0.7232,2,4.75,43.0
0.0,1.1117,2,4.99,44.0
0.0,1.1533,2,4.25,43.0
1945.0,0.4004,2,3.875,43.0
2278.13,0.082,0,4.125,49.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
5242.39,1.6628,2,4.25,42.0
4062.6,0.4021,3,4.375,20.0
5000.0,0.2135,2,4.0,35.0
909.4,-0.2155,2,3.5,25.0
5924.12,0.2713,0,3.625,31.0
6619.69,0.397,3,4.75,35.0
2596.45,0.4416556604868295,0,3.99,53.0
0.0,0.4134,3,3.99,37.73293242017198
2596.45,0.4416556604868295,3,3.99,48.0
0.0,0.1321,0,3.75,40.0
2954.5,0.2442,3,4.375,29.0
3974.38,1.4328,0,4.75,34.0
2596.45,0.4416556604868295,2,3.99,30.0
2596.45,0.4416556604868295,0,3.99,38.0
4367.13,1.4093,3,4.875,44.0
795.0,-0.2903,2,4.375,30.0
486.54,0.3026,3,3.99,43.0
4512.45,0.2716,2,3.875,39.0
6910.0,1.0459,0,3.625,34.0
2015.95,-0.4628,2,3.25,33.0
4325.0,1.1426,3,3.99,23.0
0.0,0.456,3,4.99,44.0
4062.5,1.1222,2,3.99,32.0
2596.45,0.4416556604868295,3,3.99,43.0
12745.0,0.1946,3,3.625,43.0
0.0,0.0451,0,3.75,36.0
12047.28,-0.3927,2,3.25,49.0
2596.45,0.4416556604868295,2,3.99,45.0
6808.0,0.189,2,3.625,22.0
0.0,-0.073,0,3.625,27.0
0.0,0.8977,2,4.0,37.73293242017198
0.0,0.8767,0,4.625,37.73293242017198
187.5,0.0254,0,3.75,38.0
0.0,-0.2578,0,3.49,37.73293242017198
2596.45,0.4416556604868295,3,3.99,29.0
2562.5,0.2351,2,4.75,24.0
3969.66,0.6857,3,3.99,43.0
3200.0,1.3811,3,3.99,36.0
2596.45,0.4416556604868295,0,3.99,21.0
3908.44,1.103,2,4.99,32.0
3204.08,-0.017,2,3.625,45.0
1250.0,0.2057,3,3.375,46.0
0.0,0.3241,0,3.875,37.0
0.0,0.5571,3,3.99,28.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
15034.88,0.1736,0,3.5,20.0
8114.06,0.5783,0,3.875,22.0
200.0,-0.222,2,3.0,47.0
2596.45,0.4416556604868295,2,3.99,29.0
2596.45,0.4416556604868295,2,3.99,60.0
6038.5,0.6387,0,3.5,22.0
2596.45,0.4416556604868295,0,3.99,43.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
0.0,-0.0552,3,3.625,33.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
1317.5,0.8205,0,4.375,48.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,1,3.99,37.73293242017198
1115.64,0.63,0,4.125,55.0
2425.48,0.084,0,4.375,39.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
7479.01,1.3486,2,4.125,46.0
1250.0,0.5119,0,3.625,37.0
11910.82,-0.0747,2,3.25,43.0
11088.96,0.3411,3,4.75,38.0
5691.25,0.7452,2,4.25,40.0
1250.83,0.184,2,4.25,40.0
2596.45,0.4416556604868295,0,3.99,49.0
0.0,-0.161,2,3.625,24.0
9272.5,0.911,2,4.75,46.0
2585.53,-0.6329,2,2.875,37.73293242017198
1860.0,0.245,2,4.625,21.0
0.0,0.1236,2,3.99,30.0
7625.88,0.2765,0,3.5,35.0
4504.74,0.9768,2,3.75,38.0
2596.45,0.4416556604868295,2,3.99,60.0
7469.31,-0.1469,0,3.375,36.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
0.0,1.0167,0,3.875,37.73293242017198
1772.98,0.2161,0,3.5,38.0
2596.45,0.4416556604868295,0,3.99,42.0
3430.0,0.4705,2,4.875,33.0
4198.84,0.1924,3,3.875,35.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
4160.1,0.9939,3,5.25,41.0
4668.72,0.43,3,3.99,36.0
3932.26,0.1798,0,4.75,39.0
2596.45,0.4416556604868295,3,3.99,49.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2120.0,0.677,2,4.375,19.0
642.88,0.3544,0,3.375,39.0
0.0,-0.1387,0,4.25,42.0
